symbol,quantity,algo,open_px,notional
MPB,0.0,VWAP,38.380001068115234,0.0
MCD,0.0,VWAP,277.3800048828125,0.0
IMO,0.0,VWAP,128.9600067138672,0.0
MDU,0.0,VWAP,20.59000015258789,0.0
MET,0.0,VWAP,97.0199966430664,0.0
MGRC,0.0,VWAP,121.2300033569336,0.0
ELS,0.0,VWAP,64.23999786376953,0.0
SPGI,0.0,VWAP,414.0,0.0
MITK,-2.0,VWAP,18.850000381469727,-37.70000076293945
MLKN,-1.0,VWAP,23.75,-23.75
MRSH,0.0,VWAP,189.88999938964844,0.0
MMM,0.0,VWAP,184.17999267578125,0.0
MO,0.0,VWAP,65.0,0.0
MOD,0.0,VWAP,200.35000610351562,0.0
MOG.A,0.0,VWAP,433.7900085449219,0.0
MSI,0.0,VWAP,469.80999755859375,0.0
CGNX,0.0,VWAP,60.61000061035156,0.0
MRK,0.0,VWAP,133.86000061035156,0.0
MRTN,3.0,VWAP,15.050000190734863,45.15000057220459
MSA,0.0,VWAP,192.83999633789062,0.0
MSEX,0.0,VWAP,58.290000915527344,0.0
MSFT,0.0,VWAP,493.2699890136719,0.0
MSM,0.0,VWAP,120.08999633789062,0.0
MTN,0.0,VWAP,140.07000732421875,0.0
MTX,0.0,VWAP,73.05999755859375,0.0
MUR,0.0,VWAP,34.54999923706055,0.0
PSA,0.0,VWAP,324.3500061035156,0.0
MYE,0.0,VWAP,33.279998779296875,0.0
ONTO,0.0,VWAP,334.57000732421875,0.0
NDSN,0.0,VWAP,311.3599853515625,0.0
NEM,0.0,VWAP,115.01000213623047,0.0
NFG,0.0,VWAP,81.54000091552734,0.0
NI,1.0,VWAP,42.189998626708984,42.189998626708984
NJR,0.0,VWAP,55.63999938964844,0.0
NOC,0.0,VWAP,578.719970703125,0.0
NPK,0.0,VWAP,140.0399932861328,0.0
NSC,0.0,VWAP,337.3999938964844,0.0
NSSC,0.0,VWAP,39.22999954223633,0.0
NTRS,0.0,VWAP,193.0399932861328,0.0
ES,0.0,VWAP,71.87999725341797,0.0
NUE,0.0,VWAP,273.0,0.0
NVR,0.0,VWAP,6366.2099609375,0.0
NWL,20.0,VWAP,6.210000038146973,124.20000076293945
ROG,0.0,VWAP,138.7899932861328,0.0
LECO,0.0,VWAP,286.5299987792969,0.0
OGE,0.0,VWAP,47.099998474121094,0.0
OKE,0.0,VWAP,91.95999908447266,0.0
OLN,1.0,VWAP,18.540000915527344,18.540000915527344
OTTR,0.0,VWAP,92.30999755859375,0.0
F,15.0,VWAP,13.859999656677246,207.8999948501587
OXY,0.0,VWAP,57.7400016784668,0.0
NVDA,0.0,VWAP,225.05999755859375,0.0
COP,0.0,VWAP,125.72000122070312,0.0
PATK,0.0,VWAP,87.30000305175781,0.0
PAYX,0.0,VWAP,121.54000091552734,0.0
PBI,0.0,VWAP,16.860000610351562,0.0
PCAR,0.0,VWAP,131.6699981689453,0.0
PCG,4.0,VWAP,17.40999984741211,69.63999938964844
TPC,0.0,VWAP,97.58000183105469,0.0
PDS,0.0,VWAP,81.80000305175781,0.0
PEG,0.0,VWAP,75.83000183105469,0.0
PFE,3.0,VWAP,26.489999771118164,79.46999931335449
PG,0.0,VWAP,144.58999633789062,0.0
POR,0.0,VWAP,50.15999984741211,0.0
PGR,0.0,VWAP,208.55999755859375,0.0
PH,0.0,VWAP,1070.5899658203125,0.0
RNST,-1.0,VWAP,43.720001220703125,-43.720001220703125
PHG,0.0,VWAP,27.299999237060547,0.0
PHM,0.0,VWAP,131.1999969482422,0.0
AGYS,0.0,VWAP,108.69999694824219,0.0
PKE,0.0,VWAP,38.150001525878906,0.0
PKG,0.0,VWAP,259.25,0.0
