MCHPP,1,VWAP
LBTYA,4,VWAP
LBTYK,5,VWAP
MPC,0,VWAP
AAPL,0,VWAP
ABM,0,VWAP
ABT,0,VWAP
B,1,VWAP
AB,0,VWAP
IEP,-2,VWAP
RAMP,1,VWAP
ADBE,0,VWAP
ADI,0,VWAP
ADM,0,VWAP
AEE,0,VWAP
AEP,0,VWAP
AFL,0,VWAP
AIG,0,VWAP
AIR,0,VWAP
AIT,0,VWAP
AJG,0,VWAP
MATX,0,VWAP
ALK,0,VWAP
ALX,0,VWAP
AMAT,0,VWAP
PLD,0,VWAP
AMD,0,VWAP
AME,0,VWAP
AMGN,0,VWAP
FRME,0,VWAP
AMT,0,VWAP
AN,0,VWAP
AOS,0,VWAP
APD,0,VWAP
APH,0,VWAP
APOG,0,VWAP
ARW,0,VWAP
ASB,0,VWAP
ASTE,-1,VWAP
ATRO,0,VWAP
EPAC,-1,VWAP
AVA,0,VWAP
AVT,0,VWAP
AVY,0,VWAP
AXP,0,VWAP
BA,0,VWAP
BAC,0,VWAP
BAX,0,VWAP
BBY,0,VWAP
BC,0,VWAP
BCE,0,VWAP
BCPC,0,VWAP
BDX,0,VWAP
BEN,0,VWAP
WRB,0,VWAP
BF.A,13,VWAP
BF.B,0,VWAP
BNY,0,VWAP
BKE,0,VWAP
BKH,0,VWAP
BALL,0,VWAP
BMI,0,VWAP
BPOP,0,VWAP
BRC,0,VWAP
MTRN,0,VWAP
CAC,0,VWAP
CAG,4,VWAP
CAT,0,VWAP
CBRL,0,VWAP
CBSH,0,VWAP
CBT,0,VWAP
CBU,0,VWAP
CCK,0,VWAP
FIZZ,0,VWAP
CDE,5,VWAP
AMZN,0,VWAP
CHCO,0,VWAP
CHD,0,VWAP
BBT,0,VWAP
PPC,2,VWAP
CINF,0,VWAP
GE,0,VWAP
CL,0,VWAP
CLF,4,VWAP
CLH,0,VWAP
CLX,0,VWAP
CMC,0,VWAP
CMCSA,9,VWAP
CMS,0,VWAP
CNA,0,VWAP
CNMD,0,VWAP
CNS,0,VWAP
COKE,0,VWAP
COO,0,VWAP
CPB,1,VWAP
CPF,0,VWAP
EHC,0,VWAP
CRS,0,VWAP
CSL,0,VWAP
CPT,0,VWAP
FLR,0,VWAP
CSWC,0,VWAP
CSX,0,VWAP
BXMT,4,VWAP
LUMN,15,VWAP
CTS,0,VWAP
CMI,0,VWAP
CVS,0,VWAP
CW,0,VWAP
UVE,0,VWAP
D,0,VWAP
DCI,0,VWAP
DCO,0,VWAP
DE,0,VWAP
GEN,1,VWAP
DHR,0,VWAP
DIS,0,VWAP
DJCO,0,VWAP
